Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Owner,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Specialty Sports Store,Scott Konersmann,555-0178,SPE93BF0,,,Dallas,U.S.,,,,,,,,,,TX,45678 78th Street,,,,,,,95486,,,,,,,,,,,,,,,,,,,,,,,555-0138,,,,"$200,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,725",Scott Konersmann,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Speedy bikes store,David Campbell,555-0162,,,,Redmond,U.S.,,,,,,,,,,WA,6369 Ellis Street,,,,,,,74575,,,,,,,,,,,,,,,,,,,,,,,555-0185,,,,"$18,350,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,319,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Sporty Store,Simon Pearson,555-0134,,Default Value,,Seattle,U.S.,,,,,,,,,,WA,3029 Arnold Dr,,,,,,,95806,,,,,,,,,,,,,,,,,,,,,,,555-0158,,,,"$20,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,400,,,Gail Erickson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Steady bikes,Brain LaMee,555-0178,,,,Redmond,U.S.,,,,,,,,,,WA,1960 Via Catanzaro,,,,,,,32712,,,,,,,,,,,,,,,,,,,,,,,555-0180,,,,"$7,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,149,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Superb sports goods,Linda Martin,555-1010,,,,Redmond,U.S.,,,,,,,,,,WA,249 Alexander Pl.,,,,,,,86372,,,,,,,,,,,,,,,,,,,,,,,555-0146,,,,"$1,250,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,79,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Tailspin Toys,Cindy Dodd,555-0176,SUB582B4,,,Randolph,U.S.,,,,,,,,,,MA,58 Adams DR.,,,,,,,43935,,,,,,,,,,,,,,,,,,,,,,,555-0169,,,,"$510,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"5,135",Cindy Dodd,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Teamplayer sports goods,Stephan Adolphi,555-0129,,,,Seattle,U.S.,,,,,,,,,,WA,502 Alexander Pl.,,,,,,,98856,,,,,,,,,,,,,,,,,,,,,,,555-0140,,,,"$6,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,110,,,Gail Erickson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
The Cracker Box,John Woods,555-0138,ULTE6881,Default Value,,Dallas,U.S.,,,,,,,,,,TX,789123 NE 76TH ST,,,,,,,20940,,,,,,,,,,,,,,,,,,,,,,,555-0124,,,,"$300,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,Yes,,,,,,Do Not Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"2,075",Gabriele Cannata,,Alan Jackson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
The Cycle Store,Alvin Torre,555-0135,THEDF540,,,Indianapolis,U.S.,,,,,,,,,,IN,6789 Main St.,,,,,,,56373,,,,,,,,,,,,,,,,,,,,,,,555-0188,,,,"$29,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,879,Alvin Torre,,Jose Curry,Private,Lots of Bikes Storehouse,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,Default Value,,
Trailblazing Sports,Robin Counts,555-0107,TBSSD324,,,Lakewood,U.S.,,,,,,,,,,IL,419 River Ash Court,,,,,,,80437,,,,,,,,,,,,,,,,,,,,,,,555-0172,,,,"$40,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,8,,,Jose Curry,Private,,Net 60,,,E-mail,,,,,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Transport Bikes,Vassar Stern,555-0138,TRA42C55,Default Value,,Wood Dale,U.S.,,,,,,,,,,IL,8910 WOOD RD.,,,,,,,80437,,,,,,,,,,,,,,,,,,,,,,,555-0148,,,,"$179,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,800",Vassar Stern,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Travel Systems,Kevin Liu,555-0168,TRA6EC05,,,San Ramon,U.S.,,,,,,,,,,CA,Canyon Park Ave,Ste. 123,,,,,,20593,,,,,,,,,,,,,,,,,,,,,,,555-0171,,,,"$400,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"3,167",Linda Blasingame,,Alan Jackson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Traveller's Stores,Scott Mitchell,555-0158,,,,Miami,U.S.,,,,,,,,,,FL,79945 Corporate Center Drive,,,,,,,33126,,,,,,,,,,,,,,,,,,,,,,,555-0175,,,,"$80,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,249",,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Trendy sport goods,Willis Johnson,555-0128,,Default Value,,Seattle,U.S.,,,,,,,,,,WA,136 Balboa Court,,,,,,,44912,,,,,,,,,,,,,,,,,,,,,,,555-0142,,,,"$1,250,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,72,,,Gail Erickson,,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Tuned bikes,oliver Cox,555-0168,,Default Value,,Redmond,U.S.,,,,,,,,,,WA,3768 Dorset Way,,,,,,,14107,,,,,,,,,,,,,,,,,,,,,,,555-0190,,,,"$8,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,189,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Twin Brothers Bikes,Vidur Luthra,555-0171,,,,Everett,U.S.,,,,,,,,,,WA,181 Gainsborough Drive,,,,,,,39583,,,,,,,,,,,,,,,,,,,,,,,555-0165,,,,"$745,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,51,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Two Wheels Cycle Store,John Colon,555-0160,TWOD1BA7,Default Value,,Millington,U.S.,,,,,,,,,,TN,7890 Bell Avenue,,,,,,,58299,,,,,,,,,,,,,,,,,,,,,,,555-0160,,,,"$45,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,945,John Colon,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,Default Value,,
Ultimate Bike Shop,Lawrence Hurkett,555-0124,ULB343045,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$64,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,17,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Unique bikes,Rajesh Patel,555-0127,,,,Everett,U.S.,,,,,,,,,,WA,9241 St George Dr.,,,,,,,53889,,,,,,,,,,,,,,,,,,,,,,,555-0198,,,,"$200,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,34,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Unusual sports store,Sairaj Uddin,555-0116,,Default Value,,Everett,U.S.,,,,,,,,,,WA,3928 San Francisco,,,,,,,51809,,,,,,,,,,,,,,,,,,,,,,,555-0128,,,,"$165,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,29,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Variety bikes,Reshma Patel,555-0140,,,,Redmond,U.S.,,,,,,,,,,WA,1019 Kenwal Rd.,,,,,,,82017,,,,,,,,,,,,,,,,,,,,,,,555-0104,,,,"$11,500,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,250,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Vast Bike Sales and Rental,Twanna Evans,555-0156,VAS61D68,,,Kendall,U.S.,,,,,,,,,,FL,Rome Ave and 4th St.,,,,,,,43379,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$745,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"5,239",Twanna Evans,,Gail Erickson,Private,,Net 60,,,Mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Very economic Bikes,Michel Pereira,555-0193,,,,Seattle,U.S.,,,,,,,,,,WA,8656 Lakespring Place,,,,,,,66736,,,,,,,,,,,,,,,,,,,,,,,555-0137,,,,"$165,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,27,,,Gail Erickson,,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Village Tours,Ranjit Chudukatil,555-0185,VTRE44R3,Default Value,,Walla Walla,U.S.,,,,,,,,,,TX,4823 Kirkwood Ct.,,,,,,,20940,,,,,,,,,,,,,,,,,,,,,,,555-0164,,,,"$76,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,11,,,Jose Curry,Private,,Net 60,,,Phone,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Warm bikes,David Liu,555-0199,,,,Redmond,U.S.,,,,,,,,,,WA,2482 Buckingham Dr.,,,,,,,17659,,,,,,,,,,,,,,,,,,,,,,,555-0195,,,,"$950,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,67,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Weekend Tours,John Donovan,555-0196,WEE2DE76,,,Laredo,U.S.,,,,,,,,,,TX,321 SE 56th STREET,,,,,,,20935,,,,,,,,,,,,,,,,,,,,,,,555-0139,,,,"$26,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,736,John Donovan,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Wide World Importers,Caroline Vicknair,555-0131,WORC9712,,,Santa Fe,U.S.,,,,,,,,,,NM,100 SE Rock STREET,,,,,,,20940,,,,,,,,,,,,,,,,,,,,,,,555-0189,,,,"$25,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,629,Caroline Vicknair,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Widget Bicycle Specialists,Erin Hagens,555-0121,WBS993R2,Default Value,,Concord,U.S.,,,,,,,,,,TX,9950 Edward Ave,,,,,,,98291,,,,,,,,,,,,,,,,,,,,,,,555-0176,,,,"$52,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,9,,,Jose Curry,Private,,Net 60,,,E-mail,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Women's Bike store,Venky Krishnan,555-0107,,,,Edmonds,U.S.,,,,,,,,,,WA,2059 Clayton Rd,,,,,,,94626,,,,,,,,,,,,,,,,,,,,,,,555-0161,,,,"$40,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,16,,,Gail Erickson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
World Bike Discount Store,Jimmy Bischoff,555-0180,WORF0BAD,Default Value,,Millington,U.S.,,,,,,,,,,TN,5678 100th Ave,,,,,,,58299,,,,,,,,,,,,,,,,,,,,,,,555-0100,,,,"$265,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"2,035",Jimmy Bischoff,,Gail Erickson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,Default Value,,
Year-round Sports,Scott Gode,555-0168,YEA0F669,,,Kendall,U.S.,,,,,,,,,,FL,789 S.W. 25th Ave.,,,,,,,53502,,,,,,,,,,,,,,,,,,,,,,,555-0152,,,,"$1,460,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"7,948",Scott Gode,,Gail Erickson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Zip Bikes and Accessories,Elly Nkya,555-0196,,,,Redmond,U.S.,,,,,,,,,,WA,9006 Woodside Way,,,,,,,62266,,,,,,,,,,,,,,,,,,,,,,,555-0134,,,,"$28,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,757,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
